ID,Name,Status,Recommendation,Legitimacy,Scam Score,Prize (ZAR),Prize Type,Effort,Draw Type,Usable,Barriers,Closing Date,Added,Filled At,Reason,URL
22,"Win a Romantic Getaway Package for 2 Valued at R4,200",filled,enter,7,10,"R4,200",travel,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"A legitimate-looking competition on givingmore.co.za with T&Cs linked, reCAPTCHA protection, and a clearly stated prize value of R4,200 for a romantic getaway. No closing date is listed which is a minor concern, but the low scam score and simple entry form make it worth entering.",https://givingmore.co.za/competitions/win-a-romantic-getaway-package-for-2-valued-at-4200-rand
21,"Win a Quad Biking Voucher for a Couple (2 People) Valued at R1,900",skipped,enter,8,10,"R1,900",voucher,low,unknown,Yes,captcha,,2026-04-18,,"A legitimate R1,900 quad biking voucher for two people — perfect for a couple and usable as an experience anywhere in SA. Simple form entry with T&Cs present, low scam score, and minimal barriers.",https://givingmore.co.za/competitions/win-a-quad-biking-voucher-for-a-couple-2-people-valued-at-1900-rand
20,Win 10 Free Online Internet Safety Courses Valued at R5000,pending,skip,7,10,"R5,000",experience,low,unknown,No,captcha,,2026-04-18,,"The prize is 10 online internet safety courses valued at R5000, which are not practical prizes this user wants such as cash, vouchers, electronics, food, or household goods. As educational courses with no resale or direct utility aligned to his preferences, this competition is not usable for him.",https://givingmore.co.za/competitions/win-10-free-online-internet-safety-courses-valued-at-5000-rand
19,"Win a 2-Night Camping Stay for 4 People (valued at R1,440)",skipped,review,7,10,"R1,440",experience,low,unknown,Yes,captcha,,2026-04-18,,"Legitimate-looking competition on an established SA platform with T&Cs linked and a recognisable entry form, but no closing date is listed and the prize value is modest at R1,440. The camping stay for 4 is usable but location-dependent, worth reviewing before entering.",https://givingmore.co.za/competitions/win-a-2-night-camping-stay-for-4-people-valued-at-1440-rand
18,"Win a 9 Square Meter Storage Facility for 6 Months (Valued at R6,000)",skipped,review,7,10,"R6,000",experience,low,unknown,Yes,captcha,,2026-04-18,,"The competition appears reasonably legitimate with a T&Cs link and reCAPTCHA, but no closing date is listed and the prize — a 9m² storage facility for 6 months — has limited practical appeal for most entrants unless they genuinely need storage space in the sponsor's service area. Worth reviewing to confirm the storage facility is accessible in Cape Town before entering.",https://givingmore.co.za/competitions/win-a-9-square-meter-storage-facility-for-6-months-valued-at-6000-rand
17,"A 2-Night Luxury Family Getaway for 2 Adults and 2 Children valued at R21,370",filled,enter,8,10,"R21,370",travel,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate-looking South African competition platform with T&Cs link, reCAPTCHA, and a clearly valued R21,370 family luxury getaway prize. Entry is a simple form with a question answer, and the experience is a one-off stay usable by a Cape Town resident.",https://givingmore.co.za/competitions/a-2-night-luxury-family-getaway-for-2-adults-and-2-children-valued-at-21370-rand
16,"Win a Swim Shady Swimming Pool Cover Product valued at R2,400",skipped,enter,8,10,"R2,400",product,low,unknown,Yes,captcha,,2026-04-18,,"Legitimate South African competition platform with T&Cs link, reCAPTCHA, and a recognisable sponsor product. A pool cover is a practical household product worth R2,400 that ships nationally, making it usable for a Cape Town homeowner.",https://givingmore.co.za/competitions/win-a-swim-shady-swimming-pool-cover-product-valued-at-2400-rand
15,"Win a Year's Supply of Chlor-N-Shock 4kg Stabilised Chlorine Granules (valued at R4,200)",filled,review,8,10,"R4,200",product,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate-looking competition on a South African directory site with T&Cs linked and a recognisable pool-chemical product, but the prize is a year's supply of pool chlorine granules which is only useful if the user has a pool. No closing date is listed, adding minor uncertainty.",https://givingmore.co.za/competitions/win-a-years-supply-of-chlor-n-shock-4kg-stabilised-chlorine-granules-valued-at-4200-rand
14,"2 Nights Stay for a Family of 4 (valued at R7,280)",filled,enter,8,10,"R7,280",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"This is a straightforward free form entry on a legitimate South African competition platform with T&Cs linked and reCAPTCHA protection. The 2-night family stay worth R7,280 is a usable travel experience for a Cape Town resident and entry requires minimal effort.",https://givingmore.co.za/competitions/a-2-nights-stay-for-a-family-of-4-valued-at-7280-rand
13,"A 2-Night Luxury Stay for 2 People Valued at R16,810",filled,enter,8,10,"R16,810",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"A well-structured competition on givingmore.co.za with T&Cs linked, reCAPTCHA protection, and a high-value luxury stay prize worth R16,810. No closing date is listed, but the low scam score and straightforward free entry form make it worth entering.",https://givingmore.co.za/competitions/a-2-night-luxury-stay-for-2-people-valued-at-16810-rand
12,"Win a 2-Night Stay in a Luxury Room for 2 at Cape Heritage Hotel (valued at R7,500)",filled,enter,8,10,"R7,500",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"This is a straightforward free entry form on a legitimate-looking South African competition site with visible T&Cs, a named hotel sponsor (Cape Heritage Hotel), and a clear R7,500 prize value. The hotel is located in Cape Town, making it highly convenient for this user, and the only barrier is a simple CAPTCHA.",https://givingmore.co.za/competitions/win-a-2-night-stay-in-a-luxury-room-for-2-at-cape-heritage-hotel-valued-at-7500-rand
11,"Win a PADI Recreational Diving Course Plus 4 Nights Accommodation (valued at R8,270)",filled,enter,8,10,"R8,270",experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate South African competition site with visible T&Cs, reCAPTCHA protection, and a clearly valued prize of R8,270 covering a PADI diving course plus 4 nights accommodation. As a Cape Town resident, this experience-based prize is highly usable — PADI diving is popular along the Western Cape coast and the accommodation can be enjoyed as a local trip.",https://givingmore.co.za/competitions/win-a-padi-recreational-diving-course-plus-4-nights-accommodation-valued-at-8270-rand
10,"Win a Family Skincare & Wellness Bundle Valued at R2,059",filled,enter,8,10,"R2,059",product,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate-looking competition on an established South African platform with T&Cs link present, reCAPTCHA protection, and a clearly valued skincare/wellness product bundle worth R2,059 that can be shipped nationally. No closing date is listed, but the low scam score and straightforward form entry make this worth entering.",https://givingmore.co.za/competitions/win-a-family-skincare-wellness-bundle-valued-at-2059
9,"Win a Full Dolphin Encounter Package Valued at R4,200",filled,enter,8,10,"R4,200",experience,low,first_correct,Yes,captcha,,2026-04-18,2026-04-18,"Legitimate South African competition platform with T&Cs link, reCAPTCHA, and a clearly valued dolphin encounter experience at R4,200. No closing date is a minor concern, but the low scam score and simple entry form make this worth entering for a Cape Town resident who could easily access this experience.",https://givingmore.co.za/competitions/win-a-full-dolphin-encountour-package-valued-at-4200-rand
8,Win a Free Month's Spanish Dance Classes Valued at R800,pending,skip,7,10,R800,experience,low,unknown,No,captcha,,2026-04-18,,"The prize is a month of Spanish dance classes, which is a niche experience unlikely to appeal to a 48-year-old male seeking practical prizes like cash, vouchers, electronics, or household goods. The low monetary value of R800 and experiential nature make it unsuitable for this user's stated preferences.",https://givingmore.co.za/competitions/win-a-free-months-spanish-dance-classes-valued-at-800-rand
7,Win a 2-Tier Cake for 30 People and Matching Cupcakes Valued at R2500,pending,skip,7,10,"R2,500",product,low,unknown,No,captcha,,2026-04-18,,"The prize is a 2-tier celebration cake and matching cupcakes for 30 people — a very specific food item that serves as a gift for a group event rather than a practical prize a 48-year-old male in Cape Town would personally use. As a food/gifting prize with no closing date and limited practical utility for this user profile, skipping is advised.",https://givingmore.co.za/competitions/win-a-2-tier-cake-for-30ppl-and-matching-cupcakes-valued-at-2500-rand
6,"Win a Kids Scallop Floor Bookshelf valued at R1,730",pending,skip,7,10,"R1,730",product,low,unknown,No,captcha,,2026-04-18,,"The prize is a kids' bookshelf, which has no practical use for a 48-year-old male without young children at home. Despite the competition appearing reasonably legitimate with T&Cs linked and a simple entry form, the prize does not match the user's stated preferences.",https://givingmore.co.za/competitions/win-a-kids-scallop-floor-bookshelf-valued-at-1730-rand
5,Win a 1-Night Self-Catering Stay for 2 People Valued at R950,filled,review,7,10,R950,experience,low,unknown,Yes,captcha,,2026-04-18,2026-04-18,"The competition is on a legitimate South African platform with visible T&Cs and reCAPTCHA, but the prize value of R950 is modest and the lack of a closing date adds uncertainty. Worth a quick entry given low effort, but the accommodation experience may not align with the user's preference for more practical prizes like cash or electronics.",https://givingmore.co.za/competitions/win-a-1-night-self-catering-stay-for-2-people-valued-at-950-rand
4,Toyota Fortuner Challenge – Back Your Hero 2026,filled,enter,8,10,"R500,000",vehicle,low,unknown,Yes,,,2026-04-18,2026-04-18,"This is a legitimate Toyota South Africa branded campaign with a T&Cs link and recognisable sponsor. Entering takes under 2 minutes via a simple form, and voters/supporters are typically eligible for prizes in these 'back your hero' style promotions.",https://www.fortunerchallenge.co.za/
1,"Win a Pronature Paints Hamper Valued at R5,575",filled,,,0,,,,,,,,2026-04-18,2026-04-18,,https://givingmore.co.za/competitions/win-a-pronature-paints-hamper-valued-at-5575-rand
